n_max,Delta (dB),Approx. overlap,r0 (dB),c0_0,c0_2,c0_4,c0_6,c0_8,c0_10,c0_12,Navg0,Fidelity0,r1 (dB),c1_0,c1_2,c1_4,c1_6,c1_8,c1_10,c1_12,Navg1,Fidelity1
2,3.0,0.08492327588766353,-2.9819898078654656,1.0,-6.228683891077239e-06,0.0,0.0,0.0,0.0,0.0,0.12256223221987861,0.9963372211370227,1.2728190204936696,0.5720989363111869,0.8201846177076186,0.0,0.0,0.0,0.0,0.0,1.227951065058106,0.9860428963578495
2,3.2,0.07255932481545026,-3.1838419520638332,1.0,-5.464997505728263e-06,0.0,0.0,0.0,0.0,0.0,0.14048167636841116,0.9951413650844156,1.225325660205916,0.5606347334192585,0.8280632196178731,0.0,0.0,0.0,0.0,0.0,1.2586537716568726,0.9838167926506388
2,3.4,0.06136979736944563,-3.3857836575591382,1.0,-5.785374909974084e-06,0.0,0.0,0.0,0.0,0.0,0.15979263769555718,0.9936392923523178,1.180731306087289,0.5494981089440412,0.8354949600488263,0.0,0.0,0.0,0.0,0.0,1.2879099985427622,0.981316180256322
2,3.6,0.0513221442714936,-3.5878878900701467,1.0,5.412845147716809e-06,0.0,0.0,0.0,0.0,0.0,0.18056268171039877,0.9917771732268316,1.1389298521445541,0.5387017273336474,0.8424965572438535,0.0,0.0,0.0,0.0,0.0,1.3157302535279933,0.978521162725035
2,3.8,0.04237520490028931,-3.7897974948334006,1.0,5.196776407649056e-06,0.0,0.0,0.0,0.0,0.0,0.2027707618963704,0.9894977645053216,1.0998106598891741,0.5282550011124073,0.8490857752899806,0.0,0.0,0.0,0.0,0.0,1.3421356506045696,0.9754123500701418
2,4.0,0.03448057517141612,-3.991608545903507,1.0,6.318090650718816e-06,0.0,0.0,0.0,0.0,0.0,0.22648811334163396,0.9867415468968048,1.0632600526182574,0.5181645092282317,0.855280972182917,0.0,0.0,0.0,0.0,0.0,1.3671557821262361,0.9719710612826912
2,4.2,0.027584091279156737,-4.1931038940304,1.0,-5.032865593426905e-06,0.0,0.0,0.0,0.0,0.0,0.2517140873757158,0.9834481331967774,1.029161846708583,0.5084340894727529,0.8611009096882978,0.0,0.0,0.0,0.0,0.0,1.3908275496254132,0.9681794894339761
2,4.4,0.021627202804713926,-4.394545271222535,1.0,-5.025415009231318e-06,0.0,0.0,0.0,0.0,0.0,0.27856800112287333,0.9795579133374759,0.9973987050295143,0.499065073727112,0.866564511266041,0.0,0.0,0.0,0.0,0.0,1.4131937371863885,0.9640208197575417
2,4.6,0.01654834548427994,-4.595773159600957,1.0,-5.651262113922772e-06,0.0,0.0,0.0,0.0,0.0,0.30706497873197264,0.9750138825132935,0.967852415600622,0.4900565753439991,0.8716906291581387,0.0,0.0,0.0,0.0,0.0,1.4343016384660356,0.9594792947667775
2,4.8,0.012284304589958316,-4.796807002531268,1.0,-5.137171719020173e-06,0.0,0.0,0.0,0.0,0.0,0.33726696347712176,0.9697635795677358,0.9404059365298223,0.4814058072230904,0.8764978315842539,0.0,0.0,0.0,0.0,0.0,1.4542016865012402,0.9545402251538286
2,5.0,0.00877121334211113,-4.997767325710093,1.0,5.464999171016243e-06,0.0,0.0,0.0,0.0,0.0,0.36927167970076485,0.9637610465016486,0.9149429372595212,0.47310820004061954,0.881004330894359,0.0,0.0,0.0,0.0,0.0,1.4729467371542337,0.9491899505135781
2,5.2,0.0059455502169531325,-5.1984297302657625,1.0,6.284559944148196e-06,0.0,0.0,0.0,0.0,0.0,0.40306800500311957,0.9569687082182656,0.8913492213671768,0.4651577903138096,0.8852277843081666,0.0,0.0,0.0,0.0,0.0,1.4905908002595003,0.94341575931602
2,5.4,0.003744915768387659,-5.398774929661501,1.0,-6.06849657157442e-06,0.0,0.0,0.0,0.0,0.0,0.43870513166610603,0.949359066302421,0.8695131941525449,0.457547320570624,0.8891852728418905,0.0,0.0,0.0,0.0,0.0,1.5071885309398156,0.9372057824389969
2,5.6,0.0021086399720711504,-5.599144695407708,1.0,-6.00889249416608e-06,0.0,0.0,0.0,0.0,0.0,0.4763714181884627,0.9409161032017376,0.8493263121003656,0.45026853077407325,0.892893190809962,0.0,0.0,0.0,0.0,0.0,1.5227943984975798,0.9305488784240585
2,5.8,0.0009783054823820337,-5.799421464154451,1.0,-5.036590373055501e-06,0.0,0.0,0.0,0.0,0.0,0.5160997427106835,0.9316363044086421,0.8306834550771505,0.44331236608024943,0.8963671937774333,0.0,0.0,0.0,0.0,0.0,1.5374621188325268,0.9234345309759023
2,6.0,0.00029808015671973733,-5.999606253041712,1.0,-5.047764130233938e-06,0.0,0.0,0.0,0.0,0.0,0.5579672387641655,0.9215292259666769,0.8134835809307761,0.4366690838423935,0.899622204714983,0.0,0.0,0.0,0.0,0.0,1.5512443420072535,0.9158527797782369
2,6.2,1.5014802503753709e-05,-6.199730639741448,1.0,-5.107369412690714e-06,0.0,0.0,0.0,0.0,0.0,0.6020691775099555,0.9106175616097396,0.797629788889488,0.4303285251263391,0.9026723439114497,0.0,0.0,0.0,0.0,0.0,1.5641920881054412,0.9077942043064517
2,6.4,7.922066490789764e-05,-6.400065693544405,0.9999999998796998,1.551129905615874e-05,0.0,0.0,0.0,0.0,0.0,0.6486222800192838,0.898936695837898,0.7830294988405706,0.42428017476491536,0.905530967649122,0.0,0.0,0.0,0.0,0.0,1.5763546464733404,0.8992499770215274
2,6.6,0.0004439972991530213,-6.599996032424396,1.0,5.632636297793127e-06,0.0,0.0,0.0,0.0,0.0,0.6974308547014296,0.8865337632282205,0.7695945495146148,0.41851325954311674,0.9082106867830448,0.0,0.0,0.0,0.0,0.0,1.587779428545161,0.890211997340921
2,6.8,0.0010658964477021269,-6.800036867090884,1.0,6.377696404316044e-06,0.0,0.0,0.0,0.0,0.0,0.7488379914579407,0.8734662668941161,0.7572414769673554,0.41301700427820803,0.9107233137361416,0.0,0.0,0.0,0.0,0.0,1.5985115482128163,0.8806731114563842
2,7.0,0.001904747428086522,-6.99986222013759,1.0,-9.387730543522413e-06,0.0,0.0,0.0,0.0,0.0,0.8027795313535815,0.8598003369910696,0.7458910742189723,0.4077805161578603,0.9130799804192012,0.0,0.0,0.0,0.0,0.0,1.6085941508780055,0.8706274158738426
2,7.2,0.0029236213466174482,-7.200670756902866,0.999999998456247,5.5565393423662464e-05,0.0,0.0,0.0,0.0,0.0,0.8600492288972998,0.8456087308441693,0.7354692588934588,0.4027930961148652,0.9152910584883533,0.0,0.0,0.0,0.0,0.0,1.6180679091138443,0.8600706350326424
2,7.4,0.004088782540640268,-7.400491873317522,0.9999999991768915,4.057359684029645e-05,0.0,0.0,0.0,0.0,0.0,0.9196476322299552,0.830968687935663,0.725906034551433,0.3980441370703396,0.9173662654272814,0.0,0.0,0.0,0.0,0.0,1.62697136926113,0.8490005561090656
2,7.6,0.005369621669510366,-7.597304974416128,0.9999999759817698,-0.0002191722179982589,0.0,0.0,0.0,0.0,0.0,0.9803153629114842,0.8159597550510121,0.7171356630063243,0.3935231611395889,0.9193147022068303,0.0,0.0,0.0,0.0,0.0,1.6353409923510815,0.8374174977174476
2,7.8,0.006738490714111453,-7.803020695833003,0.9999999697410615,0.00024600381578429077,0.0,0.0,0.0,0.0,0.0,1.0499283305535878,0.8006616899084774,0.7090969151818725,0.38922003097266644,0.9211448135347685,0.0,0.0,0.0,0.0,0.0,1.6432108878235845,0.8253247842558581
2,8.0,0.008170619199409368,-8.000121662084819,1.0,9.95024948956944e-06,0.0,0.0,0.0,0.0,0.0,1.1171020507197618,0.7851525370753007,0.7017325274023882,0.3851248311959338,0.9228644886419151,0.0,0.0,0.0,0.0,0.0,1.6506131694990966,0.8127291945930836
2,8.2,0.009643972799001905,-8.202799607279426,0.9999999740249764,0.00022792552826921594,0.0,0.0,0.0,0.0,0.0,1.1916548569836192,0.7695069500844293,0.6949891265042567,0.3812279500691213,0.9244810707023691,0.0,0.0,0.0,0.0,0.0,1.6575779298303384,0.7996413530315691
2,8.4,0.011139033894106948,-8.398727963562106,0.9999999946385507,-0.00010355142864202194,0.0,0.0,0.0,0.0,0.0,1.2647217320733026,0.7537948107965666,0.6888171162786504,0.3775201274149693,0.9260013787228317,0.0,0.0,0.0,0.0,0.0,1.664133276571117,0.7860760322121797
2,8.6,0.012638733503303492,-8.596733590044025,0.9999999646421618,-0.0002659242285443762,0.0,0.0,0.0,0.0,0.0,1.342929144783146,0.7380801736004354,0.6831704046851562,0.37399234614960825,0.9274317899563206,0.0,0.0,0.0,0.0,0.0,1.670305636669348,0.7720523418486381
2,8.8,0.014128205348210467,-8.80772152009106,0.9999998024431985,0.0006285805999612819,0.0,0.0,0.0,0.0,0.0,1.4360388289687724,0.722420540028773,0.6780063955548356,0.3706360325498593,0.928778192776057,0.0,0.0,0.0,0.0,0.0,1.676119518047009,0.7575937836548396
2,9.0,0.015594539612809388,-8.999458140622636,0.9999999990267605,-4.4118930127092887e-05,0.0,0.0,0.0,0.0,0.0,1.516806067912873,0.7068664503074882,0.6732853705875705,0.36744292370284365,0.9300460729559098,0.0,0.0,0.0,0.0,0.0,1.681597854972034,0.7427281610824152
2,9.2,0.017026927772629864,-9.20234939898982,0.9999999817082164,0.00019126833019261386,0.0,0.0,0.0,0.0,0.0,1.6116845866271714,0.6914613632143811,0.6689710101382128,0.3644050525417955,0.9312405477007611,0.0,0.0,0.0,0.0,0.0,1.686762103922128,0.7274873418363325
